,,,Jul-25,Aug-25,Sep-25,Oct-25,Nov-25,Dec-25,Jan-26,Feb-26,Mar-26,Apr-26,May-26,Jun-26,Summer Term,Fall Term,Winter Term,Spring Term,Annual,, Lab space ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meter,Description,Building,KWH Used,KWH Used,KWH Used,KWH Used,KWH Used,KWH Used,KWH Used,KWH Used,KWH Used,KWH Used,KWH Used,KWH Used,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-133,Alumni Center,0201 - CH2M Hill Alumni Center,0,0,0,0,0,0,"9,560","9,560","37,040",0,0,0,0,0,"56,160",0,"56,160",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-077,General-644 SW 13th ,0862 - Property Services,"5,183","5,407","5,178","4,339","4,643","5,288","5,449","5,097","5,462","5,099","4,881","4,725","15,768","14,270","16,008","14,705","60,751",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-154,Peoria Strm-Lewis Br Farm 2,0466 - Lewis Brown Utility Buildings,"3,240","3,280","3,440","3,320","4,360","6,760","7,880","6,920","6,840","5,000","4,240","3,400","9,960","14,440","21,640","12,640","58,680",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355-911-BI,Dairy Milking,0355 - Dairy Barn Milking Parlor,"6,466","4,954","4,111","3,863","4,267","3,800","4,140","9,324","5,386","4,700","3,305","4,326","15,531","11,930","18,850","12,331","58,642",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176-618-NO,FUMIG. SHOP,0176 - Fumigatorium & Shop,"2,107","3,464","2,904","3,091","4,500","6,424","5,083","15,135","6,169","4,165",954,"2,401","8,475","14,015","26,387","7,520","56,397",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107-209-NO,Native American Long House.,0085 - Native American Longhouse Eena Haws,"2,960","3,280","2,400","3,240","3,240","3,680","9,900","8,080","7,100","2,240","4,600","1,680","8,640","10,160","25,080","8,520","52,400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020-552-LG,MILNE CC,0020 - Milne Computer Center,"3,460","3,990","3,990","4,729","3,790","3,700","5,000","5,816","3,300","6,062","3,802","2,900","11,440","12,219","14,116","12,764","50,539",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-298,3550 SW Deschutes Street,0229 - Team Oregon Building ,"3,760","4,000","3,720","3,360","3,560","4,440","4,560","4,640","4,640","2,960","2,440","3,040","11,480","11,360","13,840","8,440","45,120",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
074-EstGrnHse,EAST GRNHSE,0074 - East Greenhouse,"2,786","2,496","2,657","1,889","2,951","3,045","4,526","7,915","4,439","3,900","2,500","4,843","7,939","7,885","16,880","11,243","43,947",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-289,Cesar Chavez Cultural Ctr,0813 - Centro Cultural Cesar Chavez,"3,000","3,400","2,920","2,640","2,840","3,720","4,320","4,360","4,320","2,800","2,560","2,480","9,320","9,200","13,000","7,840","39,360",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
826-001-E,Asian Pacific Cultural Center,0826 - Asian & Pacific Cultural Center,"3,000","1,000","2,000","2,000","4,000","1,680","5,913","4,407","8,884","1,723","2,147","1,543","6,000","7,680","19,204","5,413","38,297",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116-000-E,Heckart Lodge,0116 - Heckart Lodge,"4,160","2,880","3,200","3,200","3,200","1,600","4,000","3,680","3,360","2,400","4,800","3,680","10,240","8,000","11,040","10,880","40,160",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-223,Hazard Disposal Site 195 SW 35th,0141 - Environmental Health & Safety Annex,0,0,0,0,0,"9,070","8,904","8,904","8,888",0,0,0,0,"9,070","26,696",0,"35,766",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162-423-BI,VET DAIRY BN,0162 - Vet Dairy Barn,"2,987","3,370","2,414","2,131","2,507","3,296","2,121","4,563","3,995","3,600","4,386","1,494","8,771","7,934","10,679","9,480","36,864",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135-984-BO,Motor Pool Note I,0135 - Motor Pool,"2,387","2,067","2,753","2,445","3,082","2,462","4,108","5,934","3,778","1,880","2,456","2,335","7,207","7,989","13,820","6,671","35,687",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-299,2320 NW Monroe Ave Corvallis,0835 - Harris Black Cultural Center,"2,120","1,680","2,200","1,800","2,120","3,160","4,120","4,360","3,280","3,080","2,360","1,640","6,000","7,080","11,760","7,080","31,920",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COAS PAD CH,COAS Pad ,0224 - Coastal Oceanography Lab,"2,000","3,000","1,000","1,500","1,500","1,000","3,000","5,000","4,000","6,000","1,300",0,"6,000","4,000","12,000","7,300","29,300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
060-Adams,ADAMS HALL,0060 - Adams Hall,"7,801","5,992","4,101","2,536","2,536","1,171","3,944",606,150,,0,0,"17,894","6,243","4,700",0,"28,837",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-328,Dawes House,0817 - Dawes House,"2,572","2,830","2,703","2,539","2,558","2,812","2,707","2,587","2,587","2,257","2,299","2,273","8,105","7,909","7,881","6,829","30,724",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-336,BotanyA,0479 - BF Botany Plant Path Scre,"1,692","1,279","1,427","1,759","3,044","3,819","3,707","4,261","4,672",263,"1,999","1,878","4,398","8,622","12,640","4,140","29,800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-263,Rowing Club Barn   ,0472 - Beach Barn,"1,640","1,960","2,200","2,640","2,720","2,880","2,680","2,800","3,160","2,440","2,120","1,800","5,800","8,240","8,640","6,360","29,040",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
014-821-NI,SHEPARD,0014 - Shepard Hall,"2,722","1,789","2,261","2,494","2,494","1,252","3,158","2,922","2,758","1,517","3,187","1,209","6,772","6,239","8,838","5,913","27,762",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-335,33329 SE Peoria Rd-a,0466 - Lewis Brown Utility Buildings,"6,016","6,345","4,904","2,987",812,233,107,91,93,"1,106","2,352","5,193","17,265","4,032",291,"8,651","30,239",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173-504-NO,AERO LAB,0173 - Aero Engineering Lab,840,0,900,"1,410","2,300","3,700","5,200","4,700","2,200","2,100","1,360",860,"1,740","7,410","12,100","4,320","25,570",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-230,RadCtr-F104 ANSEL Actual ,0098 - Radiation Center,"1,360","1,600","1,440","1,120","1,200","2,240","4,400","4,640","3,040","1,360","1,600","1,200","4,400","4,560","12,080","4,160","25,200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-277,26th & Western Blvd Pkg,4028 - Western Blvd,0,0,0,0,"4,141","4,923","5,152","5,152","4,409",0,0,0,0,"9,064","14,713",0,"23,777",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-241,Rowing Club Barn Temp Svc,0470 - Stevens Crewhouse,"1,188","1,418","1,607","2,027","2,696","2,822","2,441","2,806","2,537","1,849","1,544","1,370","4,213","7,545","7,784","4,763","24,305",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-362,PeorRdLBrwnFarm,0466 - Lewis Brown Utility Buildings,"3,765","4,184","2,703","1,049",976,"1,656","1,990","2,418","1,422",805,"1,541","3,046","10,652","3,681","5,830","5,392","25,555",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-339,3480 SW Western Blvd,0372 - President's Residence,"2,112","2,162","1,935","1,300","1,610","2,159","2,104","2,334","1,952","1,601","1,351","1,331","6,209","5,069","6,390","4,283","21,951",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-387,34346 NE Electric Rd Corvallis OR,0482 - VF Little Greenhouse,"1,480","1,495","1,602",,"2,077","2,392","3,637","2,265","1,825","1,681","1,695","1,646","4,577","4,469","7,727","5,022","21,795",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-398,1553 SW A Ave Corvallis OR,0853 - Pride Center,"1,666","1,580","1,564","1,575","1,885","2,200","2,357","2,139","1,886","1,723","1,524","1,596","4,810","5,660","6,382","4,843","21,695",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
091-051-NO,GILMORE AN.,0091 - Gilmore Annex,"2,720","1,920","2,400","1,760","1,440",960,800,"1,920","1,440",960,"1,760","1,300","7,040","4,160","4,160","4,020","19,380",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-331,Pkg Lot-Wash & 11th-a,3227 - Washington Ave and 11th St SE Lot,"1,262","1,165","1,265","1,315","1,585","1,805","1,734","1,549","1,555","1,339","1,197",965,"3,692","4,705","4,838","3,501","16,736",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-136,Phys Plant-SW 11th & Jeff,0032 - The Information Booth,"1,080",960,600,"1,200","1,360","1,840","1,360","1,240","1,800","1,520","1,840","2,000","2,640","4,400","4,400","5,360","16,800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TFH-502-FO,Turkey Fm Hse,0374 - TF Residence - Turkey Farm,573,99,550,252,"2,545",437,"2,112","4,475",127,"1,900","1,583",219,"1,222","3,234","6,714","3,702","14,872",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-366,4575 SW Research Way Corvallis,0520 - Research Way Laboratory,"1,079","1,066","1,052","1,166","1,363","1,697","1,868","1,600","1,385","1,122","1,017",871,"3,197","4,226","4,853","3,010","15,286",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
053-000-E,McAlexFldHouse - Ath Area,0053 - McAlexander Fieldhouse,"1,734","1,153","1,317","1,359","1,068",996,"1,180","2,085","1,321","1,149","1,032","1,018","4,204","3,423","4,586","3,199","15,412",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-329,General-560 SW 15th,0046 - Physical Plant Shops,"1,113","1,042","1,096","1,167","1,189","1,390","1,182","1,281","1,346","1,182","1,138","1,142","3,251","3,746","3,809","3,462","14,268",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-183,NE Electric Rd Fish & W-Note R,0485 - Fisheries And Wildlife Office,417,325,309,565,"1,255","1,630","1,946","1,861","1,624","1,104",871,579,"1,051","3,450","5,431","2,554","12,486",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374-532-BO,Turkey Mill,0374 - TF Residence - Turkey Farm,"1,614","1,135",875,872,927,770,"2,060",573,896,"1,507",443,749,"3,624","2,569","3,529","2,699","12,421",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
029-Benton Annx.,BENTON ANNEX.,0029 - Hattie Redmond Women and Gender Center,"1,920","1,162","1,231",981,981,453,"1,172",923,923,639,"1,183",981,"4,313","2,414","3,018","2,803","12,547",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145-003-E,Student Legacy Park - 480V Site Lighting,5005 - Student Legacy Park,776,804,"1,318","1,211","1,211",643,"1,809",940,"1,264",623,872,549,"2,898","3,065","4,013","2,044","12,020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-094,Orchard Parking Lights,3322 - Orchard Court Lot,706,714,816,954,"1,023","1,402","1,814","1,318","1,031",855,785,761,"2,236","3,379","4,163","2,401","12,179",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-107,Rad Lab-Rad Ctr F104 ATHRL,0098 - Radiation Center,240,320,"3,520",160,240,160,240,160,"1,840",400,"4,000","3,520","4,080",560,"2,240","7,920","14,800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-081,Rad Ctr-Westnghs- F100 APEX,0098 - Radiation Center,880,800,"1,280","1,120",880,960,880,"1,040",380,900,600,900,"2,960","2,960","2,300","2,400","10,620",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351-681-BO,Farm Ctr,0351 - Farm Service,0,160,370,580,"1,030","1,450","2,100","1,460",980,"1,190",363,364,530,"3,060","4,540","1,917","10,047",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172-163-NO,OCEANOGRAPHY,0172 - Oceanography Staging Bldg (Cyclatron),548,660,473,"1,249","1,249",701,"1,170","1,988",301,154,906,393,"1,681","3,198","3,459","1,453","9,791",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374-528-BO,Turkey Brdr,0374 - TF Residence - Turkey Farm,415,290,246,221,378,705,"3,269","2,715",645,430,76,170,951,"1,304","6,629",676,"9,560",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-060,Azalea House,0026 - Azalea House,"5,276","3,919",,,,,,,,,,,"9,195",0,0,0,"9,195",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135-602-BO,Motor PoolB,0135 - Motor Pool,0,648,"1,008","1,548","1,908","1,692","1,332",144,144,72,72,36,"1,656","5,148","1,620",180,"8,604",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145-002-E,Student Legacy Park - 240V Wash Way Lights,5005 - Student Legacy Park,812,770,950,760,916,"1,048","1,090",0,0,925,776,770,"2,532","2,724","1,090","2,471","8,817",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
