,,,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meter,Description,Building,KWH Used,KWH Used,KWH Used,KWH Used,KWH Used,KWH Used,KWH Used,KWH Used,KWH Used,KWH Used,KWH Used,KWH Used,Summer Term,Fall Term,Winter Term,Spring Term,Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-322,4575 SW Research Way,0520 - Research Way Laboratory,"122,400","125,440","100,960","78,240","77,440","87,040","91,680","84,480","73,280","80,000","67,680","69,120","348,800","242,720","249,440","216,800","1,057,760",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-187,Parking Garage,0205 - Parking Garage,"98,400","100,800","84,000","87,300","91,200","90,300","86,700","81,600","70,200","75,000","75,000","84,000","283,200","268,800","238,500","234,000","1,024,500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128-492-NI,Wiegand,0128 - Wiegand Hall,"88,640","91,360","86,400","69,280","83,520","80,960","74,880","100,000","54,080","66,240","64,640","87,840","266,400","233,760","228,960","218,720","947,840",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
039-001-E,Student Experience Center,0039 - Student Experience Center,"111,000","66,000","126,000","91,000","55,000","41,000","120,000","66,000","57,000","50,000","94,000","69,000","303,000","187,000","243,000","213,000","946,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
083-010-E,MU West Wing,0083 - Memorial Union Building,"71,000","76,000","100,000","74,000","65,000","58,000","74,000","69,000","84,000","70,000","108,000","76,000","247,000","197,000","227,000","254,000","925,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-404,1045 SW Madison Ave Corvallis OR,0281 - 11th and Madison Student Housing,"24,800","41,200","39,120","80,800","90,960","108,880","85,040","108,720","97,200","80,960","82,320","79,520","105,120","280,640","290,960","242,800","919,520",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
011-957-NI,DEARBORN,0011 - Dearborn Hall,"58,800","84,000","73,200","85,800","73,200","55,800","106,200","72,600","69,600","79,800","79,200","66,600","216,000","214,800","248,400","225,600","904,800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259-960-NO,LAB ANI. RC,0259 - Lab Animal Resources Center,"148,480","77,120","79,680","37,800","79,200","76,160","57,000","54,200","91,520","60,160","58,560","79,040","305,280","193,160","202,720","197,760","898,920",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
021-631-NI,NASH,0021 - Nash Hall,"87,996","49,768","101,126","81,407","52,706","37,705","113,633","70,046","62,812","56,988","93,382","64,024","238,890","171,818","246,491","214,394","871,593",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
017-163-NI,WENIGER,0017 - Weniger Hall,"77,400","79,200","79,800","64,200","72,000","66,600","3,000","152,400","48,600","67,800","62,400","85,800","236,400","202,800","204,000","216,000","859,200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115-527-BI,West Hall-100%,0115 - West Hall,"57,840","78,120","69,720","94,920","74,400","37,560","71,640","56,760","47,280","61,680","62,880","125,520","205,680","206,880","175,680","250,080","838,320",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
070-854-NI,WILKINSON,0070 - Wilkinson Hall/ Gilfillan Auditorium,"67,200","58,400","62,800","53,600","65,600","80,400","71,200","122,400","51,600","70,400","60,000","70,400","188,400","199,600","245,200","200,800","834,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189-001-E,Tebeau Hall,0189 - Tebeau Hall,"50,827","31,311","71,977","82,283","60,311","45,277","120,763","87,158","56,768","44,449","70,488","47,954","154,115","187,871","264,689","162,891","769,566",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-282,University Plaza,2012 - University Plaza,"63,600","69,800","61,200","58,000","67,200","72,000","73,200","73,400","59,800","57,800","52,800","55,400","194,600","197,200","206,400","166,000","764,200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
083-000-CALC,Bookstore-Parking Garage,0205 - Parking Garage,"65,861","82,987","69,370","78,230","54,512","47,561","81,726","75,598","23,347","50,260","59,578","55,583","218,218","180,303","180,671","165,421","744,613",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
098-727-BO,Rad Ctr,0098 - Radiation Center,"75,900","84,600","74,700","58,800","61,200","42,900","45,900","79,800","32,700","70,200","51,600","53,400","235,200","162,900","158,400","175,200","731,700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
